,3M_Rate,10Y_2Y_Curve,5y5y_Forward,Core_PCE,NFP,UnEmp,Hstarts,IP,ISM,Mich_Sent,Mich_Inf,CPI
1986-04-01,6.06,0.604090909090909,7.544545454545456,0.0018032964258665185,187.0,7.1,1933.0,0.00031657882635904855,49.7,96.2,2.4,0.003555555555555534
1986-05-01,6.15,0.6423809523809524,7.894285714285714,0.0017100478813405484,127.0,7.2,1854.0,0.0021640773763744736,53.4,94.8,2.7,0.001771479185119551
1986-06-01,6.21,0.6147619047619047,7.961428571428573,0.0030009523980665254,-93.0,7.2,1847.0,-0.003258512798527957,50.5,99.3,2.9,0.0026525198938993633
1986-07-01,5.83,0.6368181818181817,7.543636363636364,0.0018095169843772574,318.0,7.0,1782.0,0.005600237886211223,48.0,97.7,2.8,0.003527336860670083
1986-08-01,5.53,0.8395238095238097,7.52904761904762,0.002056619632669676,115.0,6.9,1807.0,-0.001335938325060626,52.6,94.9,3.0,0.0035149384885764245
1986-09-01,5.21,1.1014285714285716,7.9761904761904745,0.0032838378069675045,346.0,7.0,1687.0,0.0020286192170693162,52.4,91.9,2.9,0.003502626970227629
1986-10-01,5.18,1.1472727272727274,8.020454545454545,0.0033976092215739495,187.0,7.0,1681.0,0.004676957497555145,51.2,95.6,3.2,0.003490401396160525
1986-11-01,5.35,0.9738888888888889,7.746111111111111,0.0021096672398817073,187.0,6.9,1623.0,0.004553643177150901,51.2,91.4,2.8,0.002608695652173809
1986-12-01,5.53,0.8409090909090909,7.556363636363636,0.001291441106747282,201.0,6.6,1833.0,0.008419427248898659,50.5,89.1,3.0,0.002601908065914982
1987-01-01,5.43,0.8585,7.533999999999999,0.002367532995282584,169.0,6.6,1774.0,-0.0030641713170751483,54.9,90.4,2.9,0.002595155709342656
1987-02-01,5.59,0.8526315789473684,7.708947368421054,0.0020094125112368744,241.0,6.6,1784.0,0.013086590968189205,52.6,90.2,3.1,0.0025884383088869978
1987-03-01,5.59,0.8240909090909092,7.704090909090909,0.002955301071296601,245.0,6.6,1726.0,0.0013021925088851916,55.0,90.8,3.0,0.0034423407917383297
1987-04-01,5.64,0.9985714285714287,8.471428571428573,0.0042444970621766664,335.0,6.3,1614.0,0.006307676532914197,55.5,92.8,3.0,0.006003430531732468
1987-05-01,5.66,0.8515,8.966500000000002,0.002794418149745903,229.0,6.3,1628.0,0.006456641832993437,57.2,91.1,3.4,0.0034100596760444635
1987-06-01,5.67,0.829090909090909,8.788181818181819,0.0027517982479057235,172.0,6.2,1594.0,0.00465027596249401,57.4,91.5,3.3,0.001699235344095218
1987-07-01,5.69,1.0045454545454549,8.885454545454547,0.002587928788536642,347.0,6.1,1575.0,0.006931369865084358,57.5,93.7,3.1,0.003392705682782049
1987-08-01,6.04,1.0076190476190479,9.198095238095238,0.003360820455962976,173.0,6.0,1605.0,0.008308091590830236,59.3,94.4,3.2,0.0033812341504648735
1987-09-01,6.4,1.0780952380952382,9.900952380952383,0.003971131599848077,227.0,5.9,1695.0,0.0025673388837699207,60.0,93.6,3.0,0.004212299915753892
1987-10-01,6.13,1.1223809523809525,9.960000000000003,0.00426497901905476,491.0,6.0,1515.0,0.014587447963845701,60.7,89.3,3.3,0.00503355704697972
1987-11-01,5.69,1.1678947368421049,9.373684210526315,0.0021063086512773666,234.0,5.8,1656.0,0.005247922460197341,58.8,83.1,3.2,0.0025041736227044975
1987-12-01,5.77,1.1299999999999997,9.524090909090908,0.002101881440216058,289.0,5.7,1400.0,0.004939034550593302,61.0,86.8,3.1,0.0024979184013322886
1988-01-01,5.81,1.0357894736842106,9.153684210526315,0.0047235769584939025,92.0,5.7,1271.0,0.0004491379449123034,57.5,90.8,3.2,0.004152823920265725
1988-02-01,5.66,1.0315,8.7115,0.0020536668986235185,461.0,5.7,1473.0,0.00434454494109926,56.2,91.6,3.1,0.002481389578163684
1988-03-01,5.7,1.1030434782608693,8.91304347826087,0.004268292682926944,275.0,5.7,1532.0,0.002001060610187455,54.6,94.6,3.2,0.004125412541254203
1988-04-01,5.91,1.129,9.242999999999999,0.004874182014437123,243.0,5.4,1573.0,0.0056618133792119,55.8,91.2,3.3,0.004930156121610407
1988-05-01,6.26,1.0933333333333333,9.595714285714283,0.00340712643292318,230.0,5.6,1421.0,-0.0011701875638951975,55.5,94.8,3.3,0.003270645952575757
1988-06-01,6.46,0.8954545454545456,9.355909090909089,0.004215174628663165,364.0,5.4,1478.0,0.0025468663197623087,59.3,94.7,3.7,0.004074979625101838
1988-07-01,6.73,0.777,9.456999999999999,0.004080884802451834,224.0,5.4,1467.0,0.00042869187057315017,58.2,93.4,4.6,0.0032467532467532756
1988-08-01,7.06,0.6317391304347825,9.584347826086958,0.00247175727011828,124.0,5.6,1493.0,0.004173987014615355,56.0,97.4,4.4,0.003236245954692629
1988-09-01,7.24,0.5138095238095238,9.26142857142857,0.005378123448618322,339.0,5.4,1492.0,-0.002738955277427957,54.5,97.3,3.9,0.005645161290322553
1988-10-01,7.35,0.4415,9.0785,0.0038021562011356647,263.0,5.4,1522.0,0.004963628583654289,55.4,94.1,3.9,0.00400962309542896
1988-11-01,7.76,0.29650000000000004,9.1385,0.002738333387990677,341.0,5.3,1569.0,0.001586445510485257,55.6,93.0,3.7,0.0031948881789136685
1988-12-01,8.07,0.017142857142857137,9.118571428571428,0.0033195427861265614,281.0,5.3,1563.0,0.004888778324999121,56.0,91.9,3.9,0.0031847133757962887
1989-01-01,8.27,-0.08399999999999999,9.0345,0.005052480604993637,263.0,5.4,1621.0,0.0030083057441403493,54.7,97.9,3.5,0.003968253968253954
1989-02-01,8.53,-0.2026315789473684,9.067368421052633,0.0025459734699835312,266.0,5.2,1425.0,-0.00454735039904508,54.1,95.4,4.1,0.003162055335968361
1989-03-01,8.82,-0.32181818181818184,9.201363636363638,0.00299241382656934,194.0,5.0,1422.0,0.0022738614215636055,51.5,94.3,3.7,0.003940110323088941
1989-04-01,8.65,-0.27599999999999997,9.055999999999997,0.003338278931750649,170.0,5.2,1339.0,0.0006779491178048325,52.2,91.5,4.3,0.0031397174254317317
1989-05-01,8.43,-0.15863636363636366,8.808636363636364,0.0029896327252270094,122.0,5.2,1331.0,-0.006634080397544095,49.3,90.7,4.6,0.003912363067292812
1989-06-01,8.15,-0.1290909090909091,8.262272727272725,0.0026602137786253532,114.0,5.3,1397.0,0.0004772525374714398,47.3,90.6,3.8,0.0038971161340608518
1989-07-01,7.88,0.199,8.2105,0.0025732414851280527,42.0,5.2,1427.0,-0.009183122450553971,45.9,92.0,4.1,0.0031055900621115295
1989-08-01,7.9,-0.03217391304347827,8.135652173913043,0.0014028822854228462,51.0,5.2,1332.0,0.009238044089653785,45.1,89.6,3.5,0.0023219814241486336
1989-09-01,7.75,-0.09400000000000003,8.206499999999998,0.0034704533876719346,249.0,5.3,1279.0,-0.003485691974406846,46.0,95.8,3.4,0.003088803088803216
1989-10-01,7.64,0.028571428571428574,8.049047619047618,0.0036170955357426315,107.0,5.3,1410.0,-0.0006509161803227581,46.8,93.9,3.6,0.005388760585065322
