 Date,Close
2006-08-11,7001.02
2006-08-14,6886.12
2006-08-15,6866.74
2006-08-16,6817.09
2006-08-17,6668.61
2006-08-18,6718.27
2006-08-21,6797.48
2006-08-22,6824.02
2006-08-23,6728.66
2006-08-24,6780.28
2006-08-25,6809.4
2006-08-28,6632.73
2006-08-29,6583.16
2006-08-30,6575.81
2006-08-31,6599.41
2006-09-01,6503.19
2006-09-04,6503.19
2006-09-05,6480.31
2006-09-06,6426.13
2006-09-07,6384.03
2006-09-08,6286.28
2006-09-11,6183.19
2006-09-12,6082.88
2006-09-13,6060.64
2006-09-14,5958.91
2006-09-15,5930.28
2006-09-18,5979.27
2006-09-19,5863.77
2006-09-20,5751.97
2006-09-21,5824.88
2006-09-22,5749.31
2006-09-25,5764.22
2006-09-26,5768.64
2006-09-27,5863.08
2006-09-28,5872.48
2006-09-29,5892.85
2006-10-02,5786.7
2006-10-03,5642.94
2006-10-04,5700.6
2006-10-05,5789.17
2006-10-06,5789.77
2006-10-09,5857.38
2006-10-10,5767.38
2006-10-11,5733.77
2006-10-12,5735.4
2006-10-13,5801.1
2006-10-16,5932.6
2006-10-17,5876.94
2006-10-18,5795.85
2006-10-19,5873.68
2006-10-20,5813.47
2006-10-23,5776.87
2006-10-24,5824.94
2006-10-25,5974.35
2006-10-26,5898.64
2006-10-27,5907.16
2006-10-30,5730.06
2006-10-31,5741.51
2006-11-01,5746.83
2006-11-02,5729.88
2006-11-03,5808.39
2006-11-06,5851.75
2006-11-07,5810.49
2006-11-08,5859.61
2006-11-09,5963.91
2006-11-10,5821.05
2006-11-13,5759.6
2006-11-14,5751.67
2006-11-15,5806.82
2006-11-16,5667.84
2006-11-17,5699.84
2006-11-20,5703.62
2006-11-21,5807.94
2006-11-22,5724.27
2006-11-23,5724.27
2006-11-24,5769.95
2006-11-27,5836.19
2006-11-28,5880.53
2006-11-29,5992.34
2006-11-30,6058.91
2006-12-01,6043.57
2006-12-04,5924.57
2006-12-05,5926.25
2006-12-06,5875.44
2006-12-07,5867.4
2006-12-08,5837.63
2006-12-11,5790.66
2006-12-12,5766.13
2006-12-13,5786.43
2006-12-14,5860.44
2006-12-15,5868.19
2006-12-18,5767.45
2006-12-19,5805.27
2006-12-20,5801.9
2006-12-21,5743.94
2006-12-22,5734.41
2006-12-25,5734.41
2006-12-26,5628.49
2006-12-27,5592.46
2006-12-28,5610.09
2006-12-29,5627.64
2007-01-01,5627.64
2007-01-02,5611.07
2007-01-03,5418.27
2007-01-04,5263.6
2007-01-05,5278.56
2007-01-08,5269.88
2007-01-09,5246.18
2007-01-10,5200.15
2007-01-11,5086.3
2007-01-12,5165.06
2007-01-15,5165.06
2007-01-16,5070.43
2007-01-17,5112.21
2007-01-18,5044.78
2007-01-19,5173.05
2007-01-22,5174.18
2007-01-23,5332.18
2007-01-24,5329.35
2007-01-25,5256.84
2007-01-26,5328.94
2007-01-29,5213.92
2007-01-30,5413.69
2007-01-31,5498.77
2007-02-01,5439.2
2007-02-02,5506.65
2007-02-05,5507.82
2007-02-06,5510.27
2007-02-07,5448.23
2007-02-08,5566.91
2007-02-09,5594.93
2007-02-12,5432.66
2007-02-13,5542.72
2007-02-14,5462.36
2007-02-15,5478.04
2007-02-16,5572.13
2007-02-19,5572.13
2007-02-20,5511.43
2007-02-21,5613.47
2007-02-22,5709.14
2007-02-23,5750.7
2007-02-26,5764.96
